exon_id
CD79B_exon_5
GNA13_exon_3
PIM1_exon_2
SGK1_exon_4
SETD2_exon_2
EZH2_exon_16
TEX13A_exon_4
MYD88_exon_4
CD70_exon_2
TP53_exon_7
B2M_exon_1
PIM1_exon_3
NOTCH2_exon_33
PIM1_exon_4
SOCS1_exon_1
FAS_exon_8
DUSP2_exon_2
GNAS_exon_2
TP53_exon_6
TP53_exon_5
ACTB_exon_2
IGHV2-70_exon_1
IGHV4-34_exon_1
PIK3CD_exon_3
POU2F2_exon_9
KRAS_exon_2
CCND3_exon_4
TNFRSF14_exon_5
MYD88_exon_2
MTOR_exon_57
TNFRSF1A_exon_8
CD83_exon_2
MAGT1_exon_8
TNFRSF14_exon_4
CD70_exon_3
UBE2A_exon_2
MYD88_exon_2
TMSB4X_exon_2
BIRC6_exon_71
JAK1_exon_5
TNFRSF14_exon_3
CREBBP_exon_25
CDC73_exon_3
STAT6_exon_12
CARD11_exon_21
MCL1_exon_2
RHOA_exon_4
TAF1_exon_27
SGK1_exon_5
RRAGC_exon_2
MECOM_exon_4
STAT3_exon_21
B2M_exon_2
TBL1XR1_exon_10
KLHL6_exon_6
BCL2_exon_2
CREBBP_exon_29
PIM2_exon_2
EBF1_exon_5
MAGED2_exon_2
EP300_exon_5
DDX3X_exon_14
CREBBP_exon_16
EBF1_exon_7
MSH2_exon_9
SGK1_exon_7
CARD11_exon_9
PTEN_exon_2
ZFAT_exon_9
STAT6_exon_8
INO80_exon_32
DNMT3A_exon_13
MAGT1_exon_4
TAF1_exon_16
CALML6_exon_4
TBL1XR1_exon_15
CHD1_exon_17
CHD8_exon_30
DCAF6_exon_18
INO80_exon_30
INO80_exon_34
RARA_exon_5
STAT5B_exon_18
MTOR_exon_12
ZEB2_exon_6
GOLGA5_exon_4
JAK3_exon_9
CREBBP_exon_5
ATR_exon_24
MAGT1_exon_3
BRAF_exon_15
PIK3CD_exon_6
MAP4K4_exon_21
CD70_exon_1
JAK3_exon_20
SMARCA4_exon_13
ATM_exon_29
MEF2B_exon_4
CDC73_exon_16
ZNF292_exon_8
BCL7A_exon_1
ZFX_exon_6
CDKN2A_exon_2
MARK1_exon_12
ZNF608_exon_8
SPEN_exon_3
NF1_exon_28
YY1_exon_2
